YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,2,4,3.86,3.86,0.63,293.8,73.5,-999.0,-999.0,-999.0,-999.0,1.9,12.29,6.47,9.38,11.54,9.72,17.28,7.57,5.98,69.69,0.0,102.21,2.63,2.91,214.38,3.41,3.51,216.19
1990,2,5,3.93,4.02,0.63,304.0,74.8,-999.0,-999.0,-999.0,-999.0,1.6,12.65,8.43,10.54,12.15,7.29,17.19,9.9,6.84,76.75,0.0,102.25,2.11,3.48,118.06,2.78,5.7,117.75
1990,2,6,4.0,4.01,0.64,297.5,75.9,-999.0,-999.0,-999.0,-999.0,1.8,12.65,8.76,10.71,12.43,8.24,17.35,9.11,6.96,78.69,0.0,101.91,2.59,2.12,186.38,3.5,3.29,186.75
1990,2,7,3.67,3.72,0.59,315.7,70.2,-999.0,-999.0,-999.0,-999.0,2.1,13.17,8.94,11.05,13.25,8.45,17.93,9.48,7.02,76.94,0.0,101.72,3.01,1.56,165.69,4.19,2.66,165.88
1990,2,8,4.25,3.74,0.67,316.4,82.4,-999.0,-999.0,-999.0,-999.0,2.02,13.34,10.51,11.93,13.48,5.44,16.2,10.76,7.81,83.56,0.0,102.0,2.78,2.54,67.56,3.68,2.49,67.38
1990,2,9,4.26,3.85,0.66,307.4,81.5,-999.0,-999.0,-999.0,-999.0,1.27,13.77,8.71,11.24,13.61,8.27,17.83,9.57,6.9,73.06,0.0,101.96,1.7,2.55,267.88,2.24,4.23,268.19
1990,2,10,3.85,4.13,0.59,323.9,75.0,-999.0,-999.0,-999.0,-999.0,2.09,13.73,8.47,11.1,13.93,6.5,17.33,10.83,6.84,71.5,0.0,101.74,2.85,2.49,173.44,3.89,2.96,173.0
1990,2,11,4.3,4.31,0.66,310.6,82.6,-999.0,-999.0,-999.0,-999.0,2.88,13.3,8.12,10.72,13.05,10.45,18.92,8.47,6.71,73.0,0.0,101.35,4.02,2.95,242.44,5.74,2.75,242.38
1990,2,12,3.36,4.61,0.52,338.8,67.0,-999.0,-999.0,-999.0,-999.0,3.99,13.61,7.71,10.66,12.84,9.57,19.12,9.55,6.53,69.38,0.0,100.83,5.36,9.32,272.5,7.12,11.69,273.19
1990,2,13,3.94,4.01,0.59,340.8,75.4,-999.0,-999.0,-999.0,-999.0,2.84,14.5,8.29,11.4,14.1,12.48,21.41,8.94,6.84,67.94,0.0,100.82,4.08,3.56,275.5,5.94,3.88,276.75
1990,2,14,4.08,4.11,0.61,344.7,78.0,-999.0,-999.0,-999.0,-999.0,3.83,14.86,7.86,11.36,14.3,10.48,20.62,10.15,6.59,64.69,0.0,101.1,5.28,3.12,252.12,7.71,5.03,252.5
1990,2,15,4.15,4.16,0.62,307.2,78.1,-999.0,-999.0,-999.0,-999.0,4.27,13.99,5.83,9.9,13.95,11.84,20.19,8.35,5.8,59.81,0.0,100.9,5.63,3.88,249.62,8.05,7.74,250.25
1990,2,16,4.24,4.25,0.62,314.5,80.2,-999.0,-999.0,-999.0,-999.0,2.02,14.76,4.93,9.84,14.44,13.55,22.12,8.57,5.43,54.5,0.0,100.91,2.91,4.46,224.19,4.27,7.64,222.06
1990,2,17,4.13,4.17,0.6,336.3,80.1,-999.0,-999.0,-999.0,-999.0,1.23,16.15,7.03,11.59,15.2,10.23,21.94,11.72,6.23,55.94,0.0,101.14,1.73,3.45,206.25,2.36,5.29,207.25
1990,2,18,4.53,4.55,0.66,312.7,86.4,-999.0,-999.0,-999.0,-999.0,1.69,16.37,9.36,12.87,15.51,8.7,21.55,12.85,7.39,65.44,0.0,101.46,2.31,3.24,134.5,3.3,6.05,135.0
1990,2,19,3.86,4.44,0.55,331.7,75.2,-999.0,-999.0,-999.0,-999.0,1.94,15.61,12.99,14.3,15.76,9.77,21.66,11.9,9.22,85.0,0.0,101.68,2.69,2.82,104.69,3.75,5.49,104.56
1990,2,20,3.92,4.44,0.55,326.9,76.2,-999.0,-999.0,-999.0,-999.0,3.18,14.37,12.65,13.51,14.4,7.41,18.66,11.25,8.97,88.12,0.0,102.03,4.29,4.03,70.69,5.82,4.27,70.75
1990,2,21,4.47,4.96,0.63,306.5,85.5,-999.0,-999.0,-999.0,-999.0,2.66,13.94,10.44,12.19,14.12,7.38,18.26,10.87,7.75,81.12,0.0,102.29,3.7,2.3,84.81,5.09,2.98,85.06
