YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,5,28,3.48,7.52,0.3,411.7,74.0,-999.0,-999.0,-999.0,-999.0,4.68
1990,5,29,3.12,7.53,0.27,407.9,66.8,-999.0,-999.0,-999.0,-999.0,6.57
1990,5,30,5.94,7.47,0.52,398.1,120.6,-999.0,-999.0,-999.0,-999.0,4.55
1990,5,31,6.99,6.95,0.62,388.6,138.8,-999.0,-999.0,-999.0,-999.0,2.55
1990,6,1,5.89,7.55,0.52,374.9,118.9,-999.0,-999.0,-999.0,-999.0,2.95
1990,6,2,7.01,7.03,0.62,395.6,139.2,-999.0,-999.0,-999.0,-999.0,2.04
1990,6,3,6.76,6.66,0.59,393.5,135.2,-999.0,-999.0,-999.0,-999.0,1.84
1990,6,4,5.0,6.84,0.44,413.2,102.2,-999.0,-999.0,-999.0,-999.0,3.62
1990,6,5,5.08,7.03,0.45,408.5,104.4,-999.0,-999.0,-999.0,-999.0,2.73
1990,6,6,5.99,7.6,0.52,426.5,122.5,-999.0,-999.0,-999.0,-999.0,2.86
1990,6,7,5.93,7.55,0.52,408.2,121.1,-999.0,-999.0,-999.0,-999.0,3.88
1990,6,8,7.51,7.52,0.66,381.7,148.8,-999.0,-999.0,-999.0,-999.0,1.36
1990,6,9,7.18,7.18,0.62,412.1,145.7,-999.0,-999.0,-999.0,-999.0,2.12
1990,6,10,7.38,7.39,0.64,393.5,147.0,-999.0,-999.0,-999.0,-999.0,2.55
1990,6,11,6.91,6.95,0.6,404.1,138.6,-999.0,-999.0,-999.0,-999.0,4.34
1990,6,12,6.56,6.95,0.57,410.2,131.8,-999.0,-999.0,-999.0,-999.0,4.08
1990,6,13,6.25,7.77,0.55,417.6,128.5,-999.0,-999.0,-999.0,-999.0,5.51
1990,6,14,7.46,7.53,0.65,382.3,149.6,-999.0,-999.0,-999.0,-999.0,3.8
1990,6,15,6.6,6.65,0.57,385.8,130.2,-999.0,-999.0,-999.0,-999.0,4.56
1990,6,16,6.53,6.89,0.57,419.3,131.7,-999.0,-999.0,-999.0,-999.0,5.02
1990,6,17,6.05,7.01,0.52,417.8,123.7,-999.0,-999.0,-999.0,-999.0,4.86
1990,6,18,6.22,6.82,0.54,398.7,124.9,-999.0,-999.0,-999.0,-999.0,4.34
1990,6,19,6.67,6.25,0.58,412.2,133.6,-999.0,-999.0,-999.0,-999.0,2.86
1990,6,20,6.07,6.55,0.53,434.3,123.6,-999.0,-999.0,-999.0,-999.0,2.73
1990,6,21,6.53,5.99,0.57,426.2,134.7,-999.0,-999.0,-999.0,-999.0,5.15
1990,6,22,7.43,6.92,0.65,408.9,150.9,-999.0,-999.0,-999.0,-999.0,5.55
1990,6,23,6.62,6.59,0.58,381.0,131.4,-999.0,-999.0,-999.0,-999.0,5.01
1990,6,24,7.02,7.02,0.61,369.4,136.4,-999.0,-999.0,-999.0,-999.0,4.33
1990,6,25,7.03,7.04,0.61,377.3,138.5,-999.0,-999.0,-999.0,-999.0,2.9
1990,6,26,7.16,7.16,0.62,381.8,141.2,-999.0,-999.0,-999.0,-999.0,3.09
1990,6,27,6.79,6.79,0.59,402.9,137.6,-999.0,-999.0,-999.0,-999.0,2.74
