"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""SEP-2018"",17775,9.5,36.5,364.319"
"""OCT-2018"",17805,9.5,36.5,350.413"
"""NOV-2018"",17836,9.5,36.5,339.648"
"""DEC-2018"",17866,9.5,36.5,359.592"
"""JAN-2019"",17897,9.5,36.5,403.056"
"""FEB-2019"",17928,9.5,36.5,402.736"
"""MAR-2019"",17956,9.5,36.5,405.471"
"""APR-2019"",17987,9.5,36.5,425.569"
"""MAY-2019"",18017,9.5,36.5,440.81"
"""JUN-2019"",18048,9.5,36.5,398.881"
"""JUL-2019"",18078,9.5,36.5,386.392"
"""AUG-2019"",18109,9.5,36.5,371.29"
"""SEP-2019"",18140,9.5,36.5,366.399"
"""OCT-2019"",18170,9.5,36.5,359.673"
"""NOV-2019"",18201,9.5,36.5,387.75"
"""DEC-2019"",18231,9.5,36.5,387.382"
"""JAN-2020"",18262,9.5,36.5,405.993"
"""FEB-2020"",18293,9.5,36.5,379.391"
"""MAR-2020"",18322,9.5,36.5,425.672"
"""APR-2020"",18353,9.5,36.5,419.309"
"""MAY-2020"",18383,9.5,36.5,397.375"
"""JUN-2020"",18414,9.5,36.5,383.662"
"""JUL-2020"",18444,9.5,36.5,366.476"
"""AUG-2020"",18475,9.5,36.5,365.935"
"""SEP-2020"",18506,9.5,36.5,359.191"
"""OCT-2020"",18536,9.5,36.5,358.75"
"""NOV-2020"",18567,9.5,36.5,354.993"
"""DEC-2020"",18597,9.5,36.5,371.618"
"""JAN-2021"",18628,9.5,36.5,396.175"
"""FEB-2021"",18659,9.5,36.5,380.344"
"""MAR-2021"",18687,9.5,36.5,433.972"
"""APR-2021"",18718,9.5,36.5,429.47"
"""MAY-2021"",18748,9.5,36.5,390.267"
"""JUN-2021"",18779,9.5,36.5,393.967"
"""JUL-2021"",18809,9.5,36.5,381.549"
"""AUG-2021"",18840,9.5,36.5,371.332"
"""SEP-2021"",18871,9.5,36.5,362.714"
"""OCT-2021"",18901,9.5,36.5,304.059"
"""NOV-2021"",18932,9.5,36.5,293.039"
"""DEC-2021"",18962,9.5,36.5,355.7"
"""JAN-2022"",18993,9.5,36.5,329.572"
"""FEB-2022"",19024,9.5,36.5,321.88"
"""MAR-2022"",19052,9.5,36.5,340.211"
"""APR-2022"",19083,9.5,36.5,338.541"
"""MAY-2022"",19113,9.5,36.5,344.21"
"""JUN-2022"",19144,9.5,36.5,300.406"
"""JUL-2022"",19174,9.5,36.5,303.682"
"""AUG-2022"",19205,9.5,36.5,300.7"
"""SEP-2022"",19236,9.5,36.5,289.6"
"""OCT-2022"",19266,9.5,36.5,273.182"
"""NOV-2022"",19297,9.5,36.5,277.506"
"""DEC-2022"",19327,9.5,36.5,283.922"
"""JAN-2023"",19358,9.5,36.5,329.965"
"""FEB-2023"",19389,9.5,36.5,315.269"
"""MAR-2023"",19417,9.5,36.5,314.788"
"""APR-2023"",19448,9.5,36.5,335.437"
"""MAY-2023"",19478,9.5,36.5,341.489"
"""JUN-2023"",19509,9.5,36.5,317.622"
"""JUL-2023"",19539,9.5,36.5,295.294"
