YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M
1990,3,23,14.96,1.93,8.44,15.4,15.75,23.43,7.68,4.52,45.44,0.0,97.41,3.59,1.71,272.81,5.55,4.19,274.5
1990,3,24,15.93,2.83,9.37,15.74,13.77,23.06,9.3,4.82,44.0,0.0,97.3,4.29,5.23,261.44,5.88,5.24,262.06
1990,3,25,16.11,3.66,9.89,14.66,9.82,21.4,11.58,5.25,47.0,0.02,97.0,2.23,3.13,152.25,3.46,6.8,153.12
1990,3,26,14.98,8.76,11.87,16.1,8.59,19.44,10.85,7.32,68.88,3.49,96.56,3.22,5.48,124.75,4.95,6.27,124.69
1990,3,27,10.51,5.5,8.0,11.2,6.63,13.51,6.88,5.86,71.88,8.22,96.7,3.35,4.38,122.38,4.23,5.64,123.06
1990,3,28,11.09,1.6,6.34,11.96,14.97,18.83,3.87,4.46,57.62,0.03,96.97,3.02,3.82,144.44,4.15,4.6,147.31
1990,3,29,11.35,4.24,7.8,13.26,14.18,18.16,3.98,5.37,65.94,0.16,97.17,3.26,2.62,100.81,4.86,6.05,101.88
1990,3,30,13.51,6.01,9.76,14.76,12.92,20.02,7.1,6.04,63.81,0.28,97.21,4.83,5.13,78.94,6.52,5.6,79.44
1990,3,31,13.62,8.61,11.11,14.83,8.73,18.83,10.09,7.14,73.75,0.43,97.4,6.75,6.11,76.12,8.33,5.59,76.19
1990,4,1,12.8,8.47,10.63,14.07,9.46,17.95,8.49,7.08,76.81,0.07,97.31,5.26,2.12,78.31,6.72,1.85,78.88
1990,4,2,15.73,9.91,12.82,17.42,12.7,22.4,9.7,7.93,71.12,2.96,96.62,3.02,4.85,127.56,4.01,6.28,129.56
1990,4,3,15.11,6.77,10.94,16.08,12.33,21.84,9.51,6.53,62.44,0.13,96.34,3.52,5.67,176.31,5.01,7.59,178.62
1990,4,4,15.12,7.31,11.22,17.04,14.09,22.8,8.72,6.65,64.81,0.32,96.62,3.79,5.94,106.31,5.16,8.95,105.38
1990,4,5,16.59,9.23,12.91,17.74,14.23,24.31,10.07,7.57,67.38,0.04,96.51,3.61,4.26,113.19,4.99,6.97,114.06
