"DATETIME,TIME,LON,LAT,TOTAL_COLUMN_OZONE"
"""DEC-2018"",17866,10.25,36.75,366.243"
"""JAN-2019"",17897,10.25,36.75,409.222"
"""FEB-2019"",17928,10.25,36.75,402.029"
"""MAR-2019"",17956,10.25,36.75,402.104"
"""APR-2019"",17987,10.25,36.75,431.743"
"""MAY-2019"",18017,10.25,36.75,444.38"
"""JUN-2019"",18048,10.25,36.75,402.354"
"""JUL-2019"",18078,10.25,36.75,388.312"
"""AUG-2019"",18109,10.25,36.75,373.227"
"""SEP-2019"",18140,10.25,36.75,367.069"
"""OCT-2019"",18170,10.25,36.75,360.145"
"""NOV-2019"",18201,10.25,36.75,384.174"
"""DEC-2019"",18231,10.25,36.75,394.257"
"""JAN-2020"",18262,10.25,36.75,408.382"
"""FEB-2020"",18293,10.25,36.75,382.799"
"""MAR-2020"",18322,10.25,36.75,428.111"
"""APR-2020"",18353,10.25,36.75,425.072"
"""MAY-2020"",18383,10.25,36.75,400.481"
"""JUN-2020"",18414,10.25,36.75,389.715"
"""JUL-2020"",18444,10.25,36.75,368.706"
"""AUG-2020"",18475,10.25,36.75,368.815"
"""SEP-2020"",18506,10.25,36.75,362.059"
"""OCT-2020"",18536,10.25,36.75,360.2"
"""NOV-2020"",18567,10.25,36.75,355.215"
"""DEC-2020"",18597,10.25,36.75,369.895"
"""JAN-2021"",18628,10.25,36.75,404.656"
"""FEB-2021"",18659,10.25,36.75,385.326"
"""MAR-2021"",18687,10.25,36.75,437.469"
"""APR-2021"",18718,10.25,36.75,437.368"
"""MAY-2021"",18748,10.25,36.75,395.386"
"""JUN-2021"",18779,10.25,36.75,394.505"
"""JUL-2021"",18809,10.25,36.75,382.636"
"""AUG-2021"",18840,10.25,36.75,373.13"
"""SEP-2021"",18871,10.25,36.75,367.069"
"""OCT-2021"",18901,10.25,36.75,305.425"
"""NOV-2021"",18932,10.25,36.75,294.726"
"""DEC-2021"",18962,10.25,36.75,321.668"
"""JAN-2022"",18993,10.25,36.75,356.671"
"""FEB-2022"",19024,10.25,36.75,327.235"
"""MAR-2022"",19052,10.25,36.75,340.984"
"""APR-2022"",19083,10.25,36.75,337.253"
"""MAY-2022"",19113,10.25,36.75,342.905"
"""JUN-2022"",19144,10.25,36.75,302.428"
"""JUL-2022"",19174,10.25,36.75,304.85"
"""AUG-2022"",19205,10.25,36.75,301.383"
"""SEP-2022"",19236,10.25,36.75,291.77"
"""OCT-2022"",19266,10.25,36.75,275.089"
"""NOV-2022"",19297,10.25,36.75,280.284"
"""DEC-2022"",19327,10.25,36.75,284.74"
"""JAN-2023"",19358,10.25,36.75,331.929"
"""FEB-2023"",19389,10.25,36.75,320.469"
"""MAR-2023"",19417,10.25,36.75,318.367"
"""APR-2023"",19448,10.25,36.75,336.835"
"""MAY-2023"",19478,10.25,36.75,340.125"
"""JUN-2023"",19509,10.25,36.75,319.506"
"""JUL-2023"",19539,10.25,36.75,296.306"
