"DATETIME,TIME,LON,LAT,PRECIP"
"""OCT-2003"",74417,11.25,36.25,2.40774"
"""NOV-2003"",74448,11.25,36.25,1.18061"
"""DEC-2003"",74478,11.25,36.25,3.45182"
"""JAN-2004"",74509,11.25,36.25,0.760721"
"""FEB-2004"",74540,11.25,36.25,0.431446"
"""MAR-2004"",74569,11.25,36.25,1.81976"
"""APR-2004"",74600,11.25,36.25,1.06833"
"""MAY-2004"",74630,11.25,36.25,0.621375"
"""JUN-2004"",74661,11.25,36.25,1.17396"
"""JUL-2004"",74691,11.25,36.25,0.196946"
"""AUG-2004"",74722,11.25,36.25,0.479782"
"""SEP-2004"",74753,11.25,36.25,1.42542"
"""OCT-2004"",74783,11.25,36.25,1.0262"
"""NOV-2004"",74814,11.25,36.25,2.22128"
"""DEC-2004"",74844,11.25,36.25,2.17331"
"""JAN-2005"",74875,11.25,36.25,1.39328"
"""FEB-2005"",74906,11.25,36.25,2.66174"
"""MAR-2005"",74934,11.25,36.25,0.633653"
"""APR-2005"",74965,11.25,36.25,1.08789"
"""MAY-2005"",74995,11.25,36.25,0.328432"
"""JUN-2005"",75026,11.25,36.25,0.49928"
"""JUL-2005"",75056,11.25,36.25,0.276609"
"""AUG-2005"",75087,11.25,36.25,1.69117"
"""SEP-2005"",75118,11.25,36.25,0.746446"
"""OCT-2005"",75148,11.25,36.25,0.94283"
"""NOV-2005"",75179,11.25,36.25,1.43006"
"""DEC-2005"",75209,11.25,36.25,2.46837"
"""JAN-2006"",75240,11.25,36.25,3.80703"
"""FEB-2006"",75271,11.25,36.25,0.917133"
"""MAR-2006"",75299,11.25,36.25,0.569617"
"""APR-2006"",75330,11.25,36.25,0.592052"
"""MAY-2006"",75360,11.25,36.25,1.52972"
"""JUN-2006"",75391,11.25,36.25,0.277625"
"""JUL-2006"",75421,11.25,36.25,0.198145"
"""AUG-2006"",75452,11.25,36.25,0.484095"
"""SEP-2006"",75483,11.25,36.25,1.52429"
"""OCT-2006"",75513,11.25,36.25,1.80038"
"""NOV-2006"",75544,11.25,36.25,0.992205"
"""DEC-2006"",75574,11.25,36.25,3.34156"
"""JAN-2007"",75605,11.25,36.25,0.360894"
"""FEB-2007"",75636,11.25,36.25,1.39699"
"""MAR-2007"",75664,11.25,36.25,3.03715"
"""APR-2007"",75695,11.25,36.25,1.34528"
"""MAY-2007"",75725,11.25,36.25,0.57456"
"""JUN-2007"",75756,11.25,36.25,1.14157"
"""JUL-2007"",75786,11.25,36.25,0.0808069"
"""AUG-2007"",75817,11.25,36.25,0.442064"
"""SEP-2007"",75848,11.25,36.25,1.53254"
"""OCT-2007"",75878,11.25,36.25,2.81851"
"""NOV-2007"",75909,11.25,36.25,0.762725"
"""DEC-2007"",75939,11.25,36.25,2.30134"
"""JAN-2008"",75970,11.25,36.25,0.245723"
"""FEB-2008"",76001,11.25,36.25,0.447847"
"""MAR-2008"",76030,11.25,36.25,1.42816"
"""APR-2008"",76061,11.25,36.25,0.280471"
"""MAY-2008"",76091,11.25,36.25,0.849568"
"""JUN-2008"",76122,11.25,36.25,0.514475"
