YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX,WS2M
1990,4,9,6.34,6.99,0.66,367.5,125.2,-999.0,-999.0,-999.0,-999.0,4.52
1990,4,10,5.32,6.93,0.55,352.3,106.5,-999.0,-999.0,-999.0,-999.0,3.99
1990,4,11,5.73,6.93,0.59,320.7,112.1,-999.0,-999.0,-999.0,-999.0,4.02
1990,4,12,3.65,7.11,0.38,362.2,75.9,-999.0,-999.0,-999.0,-999.0,5.2
1990,4,13,6.22,6.29,0.63,328.8,120.6,-999.0,-999.0,-999.0,-999.0,2.61
1990,4,14,6.51,6.52,0.66,341.3,127.5,-999.0,-999.0,-999.0,-999.0,2.62
1990,4,15,6.08,7.17,0.61,359.0,121.3,-999.0,-999.0,-999.0,-999.0,2.05
1990,4,16,6.2,6.22,0.62,333.8,121.4,-999.0,-999.0,-999.0,-999.0,3.7
1990,4,17,5.74,6.87,0.57,335.3,116.6,-999.0,-999.0,-999.0,-999.0,3.07
1990,4,18,5.25,7.35,0.52,351.6,106.2,-999.0,-999.0,-999.0,-999.0,1.89
1990,4,19,5.18,6.52,0.51,356.9,104.5,-999.0,-999.0,-999.0,-999.0,2.45
1990,4,20,6.37,6.51,0.62,344.4,124.9,-999.0,-999.0,-999.0,-999.0,3.88
1990,4,21,6.47,6.74,0.63,355.5,127.9,-999.0,-999.0,-999.0,-999.0,1.97
1990,4,22,6.76,6.61,0.66,379.7,135.3,-999.0,-999.0,-999.0,-999.0,3.25
1990,4,23,3.08,7.32,0.3,355.5,64.0,-999.0,-999.0,-999.0,-999.0,2.28
1990,4,24,2.51,7.28,0.24,364.4,53.9,-999.0,-999.0,-999.0,-999.0,1.86
1990,4,25,3.35,7.49,0.32,367.2,71.0,-999.0,-999.0,-999.0,-999.0,3.23
1990,4,26,6.53,7.53,0.62,355.7,130.8,-999.0,-999.0,-999.0,-999.0,3.6
1990,4,27,7.02,7.28,0.67,359.4,138.5,-999.0,-999.0,-999.0,-999.0,1.62
1990,4,28,4.9,7.47,0.47,374.8,101.5,-999.0,-999.0,-999.0,-999.0,1.84
1990,4,29,2.75,7.49,0.26,401.0,60.3,-999.0,-999.0,-999.0,-999.0,2.31
1990,4,30,0.83,7.51,0.08,371.6,19.3,-999.0,-999.0,-999.0,-999.0,4.36
1990,5,1,2.06,7.26,0.2,363.7,45.4,-999.0,-999.0,-999.0,-999.0,4.7
1990,5,2,5.0,7.36,0.47,369.1,103.5,-999.0,-999.0,-999.0,-999.0,4.21
1990,5,3,6.33,6.78,0.59,345.0,126.3,-999.0,-999.0,-999.0,-999.0,2.76
1990,5,4,6.76,6.69,0.63,323.6,130.5,-999.0,-999.0,-999.0,-999.0,2.0
1990,5,5,6.67,7.16,0.62,345.7,133.6,-999.0,-999.0,-999.0,-999.0,2.1
1990,5,6,5.08,7.0,0.47,373.3,105.4,-999.0,-999.0,-999.0,-999.0,2.25
